PeakID (cmd=annotatePeaks.pl lmo2_specific.bed mm10 -annStats lmo2_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_742	chr17	14173537	14173829	+	169	NA	Intergenic	Intergenic	30148	NM_172826	240025	Mm.79993	NM_172826	ENSMUSG00000048826	Dact2	2900084M21Rik|A630024E20|Dpr2|Frd2|dapper2	dishevelled-binding antagonist of beta-catenin 2	protein-coding
lmo2_peak_1330	chr5	105435481	105435788	+	169	NA	intron (NM_001033550, intron 1 of 4)	intron (NM_001033550, intron 1 of 4)	19859	NM_001033550	433926	Mm.439781	NM_001033550	ENSMUSG00000070639	Lrrc8b	2210408K08Rik|R75581|Ta-lrrp|mKIAA0231	leucine rich repeat containing 8 family, member B	protein-coding
lmo2_peak_934	chr2	28602167	28602572	+	169	NA	Intergenic	Intergenic	-19090	NM_148928	70239	Mm.274120	NM_148928	ENSMUSG00000026816	Gtf3c5	2700084A09Rik|TFIIIC63|TFiiiC2-63	general transcription factor IIIC, polypeptide 5	protein-coding
lmo2_peak_358	chr12	52692369	52692676	+	169	NA	Intergenic	Intergenic	-6861	NM_198111	238161	Mm.310822	NM_198111	ENSMUSG00000061603	Akap6	AI482140|Akapalpha|Akapbeta|PRKA	A kinase (PRKA) anchor protein 6	protein-coding
lmo2_peak_1822	chr9	71606497	71606983	+	164	NA	Intergenic	Intergenic	-14380	NM_001033208	102371	Mm.27585	NM_001033208	ENSMUSG00000041361	Myzap	AA407270|AV006038|Gcom1|Gm20502|Gm640|Grinl1a7|Myozap	myocardial zonula adherens protein	protein-coding
lmo2_peak_1527	chr7	98149967	98150234	+	164	NA	intron (NM_001301250, intron 3 of 12)	intron (NM_001301250, intron 3 of 12)	-4653	NM_011010	18378	Mm.440368	NM_011010	ENSMUSG00000074006	Omp	-	olfactory marker protein	protein-coding
lmo2_peak_1547	chr7	112866984	112867308	+	164	NA	intron (NM_001166584, intron 10 of 13)	intron (NM_001166584, intron 10 of 13)	-86816	NM_175279	78748	Mm.349943	NM_175279	ENSMUSG00000098132	Rassf10	4632411J06Rik	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10	protein-coding
lmo2_peak_241	chr11	51544502	51544766	+	160	NA	intron (NM_153393, intron 5 of 28)	intron (NM_153393, intron 5 of 28)	-40123	NM_028398	72947	Mm.256875	NM_028398	ENSMUSG00000020359	Phykpl	2900006B13Rik|Agxt2l2	5-phosphohydroxy-L-lysine phospholyase	protein-coding
lmo2_peak_439	chr13	45849709	45849905	+	158	NA	intron (NM_001199304, intron 3 of 6)	intron (NM_001199304, intron 3 of 6)	115184	NM_009124	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|Gm10786|Sca1	ataxin 1	protein-coding
lmo2_peak_1615	chr8	27061855	27062103	+	158	NA	Intergenic	Intergenic	19424	NM_001363479	114863	Mm.277501	NM_054057	ENSMUSG00000031485	Plpbp	1700024N20Rik|2200002F22Rik|Prosc	pyridoxal phosphate binding protein	protein-coding
lmo2_peak_828	chr18	58442279	58442572	+	158	NA	Intergenic	B4A|SINE|B4	-113815	NM_001081072	225579	Mm.258517	NM_001081072	ENSMUSG00000024600	Slc27a6	4732438L20Rik|FACVL2|FATP6|VLCS-H1	solute carrier family 27 (fatty acid transporter), member 6	protein-coding
lmo2_peak_530	chr14	46573477	46573730	+	158	NA	intron (NR_046459, intron 1 of 4)	intron (NR_046459, intron 1 of 4)	2248	NR_046459	100873094	Mm.318596	NR_046459	ENSMUSG00000085123	Rubie	Gm15219|Gm1584	RNA upstream of Bmp4 expressed in inner ear	ncRNA
lmo2_peak_529	chr14	45812820	45812965	+	156	NA	Intergenic	MTE2b|LTR|ERVL-MaLR	-154749	NM_001042719	114874	Mm.121918	NM_176845	ENSMUSG00000037697	Ddhd1	Mir5131|PA-PLA1	DDHD domain containing 1	protein-coding
lmo2_peak_290	chr11	95258621	95258811	+	156	NA	Intergenic	CpG	-2813	NM_053093	93670	Mm.40085	NM_053093	ENSMUSG00000020872	Tac4	AW489379|PPT-C	tachykinin 4	protein-coding
lmo2_peak_604	chr15	62158937	62159322	+	156	NA	intron (NR_003368, intron 3 of 8)	intron (NR_003368, intron 3 of 8)	60322	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
lmo2_peak_985	chr2	91096594	91096919	+	156	NA	promoter-TSS (NM_011355)	promoter-TSS (NM_011355)	78	NM_011355	20375	Mm.1302	NM_011355	ENSMUSG00000002111	Spi1	Dis-1|Dis1|PU.1|Sfpi-1|Sfpi1|Spi-1|Tcfpu1|Tfpu.1	spleen focus forming virus (SFFV) proviral integration oncogene	protein-coding
lmo2_peak_773	chr17	53573281	53573498	+	156	NA	intron (NR_151733, intron 1 of 16)	RLTR19-int|LTR|ERVK	6418	NM_020005	18519	Mm.255025	NM_020005	ENSMUSG00000000708	Kat2b	A930006P13Rik|AI461839|AW536563|Pcaf|p/CAF	K(lysine) acetyltransferase 2B	protein-coding
lmo2_peak_1022	chr2	129226399	129226623	+	156	NA	intron (NR_045838, intron 3 of 4)	intron (NR_045838, intron 3 of 4)	7542	NR_045838	329513	Mm.473529	NM_177847	ENSMUSG00000056738	A730036I17Rik	-	RIKEN cDNA A730036I17 gene	ncRNA
lmo2_peak_849	chr18	82909762	82910023	+	156	NA	promoter-TSS (NM_183033)	promoter-TSS (NM_183033)	-987	NM_183033	329003	Mm.326526	NM_183033	ENSMUSG00000058881	Zfp516	C330029B10Rik|D230016L03|Zfp26l|Znf516|mKIAA0222	zinc finger protein 516	protein-coding
lmo2_peak_15	chr1	44584902	44585223	+	156	NA	intron (NM_028450, intron 1 of 10)	intron (NM_028450, intron 1 of 10)	33391	NM_028450	70676	Mm.133132	NM_027506	ENSMUSG00000056870	Gulp1	3110030A04Rik|5730529O06Rik|CED-6|Ced6|GULP|Gulp-2	GULP, engulfment adaptor PTB domain containing 1	protein-coding
lmo2_peak_399	chr12	111461530	111461784	+	156	NA	Intergenic	Intergenic	18996	NM_009396	21928	Mm.255332	NM_009396	ENSMUSG00000021281	Tnfaip2	B94|Exoc3l3|M-sec|Tnfip2|tnfb94	tumor necrosis factor, alpha-induced protein 2	protein-coding
lmo2_peak_942	chr2	36198668	36198884	+	156	NA	Intergenic	Intergenic	-31650	NM_008969	19224	Mm.275434	NM_008969	ENSMUSG00000047250	Ptgs1	COX1|Cox-1|Cox-3|PGHS-1|PHS 1|Pghs1	prostaglandin-endoperoxide synthase 1	protein-coding
lmo2_peak_1810	chr9	65848285	65848516	+	156	NA	intron (NM_001357872, intron 12 of 13)	intron (NM_001357872, intron 12 of 13)	-20836	NM_172536	214812	Mm.139231	NM_172536	ENSMUSG00000040524	Zfp609	9830165N24|BC016271|Znf609|mKIAA0295	zinc finger protein 609	protein-coding
lmo2_peak_1551	chr7	115941805	115941993	+	156	NA	intron (NM_001025559, intron 2 of 15)	intron (NM_001025559, intron 2 of 15)	53187	NM_011445	20679	Mm.323365	NM_011445	ENSMUSG00000051910	Sox6	AI987981|SOX-LZ	SRY (sex determining region Y)-box 6	protein-coding
lmo2_peak_1085	chr3	51744488	51744802	+	156	NA	intron (NM_001004176, intron 2 of 4)	intron (NM_001004176, intron 2 of 4)	83466	NM_174995	211666	Mm.24679	NM_174995	ENSMUSG00000074604	Mgst2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
lmo2_peak_871	chr19	36273440	36273793	+	156	NA	Intergenic	ERV3-16A3_I-int|LTR|ERVL	-74713	NM_001368692	76073	Mm.259180	NM_029508	ENSMUSG00000024805	Pcgf5	0610009F02Rik|1110054A01Rik|5830406C17Rik|5830443C21Rik|9530023M17Rik|AI324127	polycomb group ring finger 5	protein-coding
lmo2_peak_912	chr2	4232985	4233358	+	156	NA	intron (NM_172475, intron 1 of 22)	intron (NM_172475, intron 1 of 22)	80308	NM_172475	209630	Mm.37932	NM_172475	ENSMUSG00000026657	Frmd4a	2700017I06Rik|5330420J21|AI594879|C230040M21Rik|Frmd4|Gm13190|mKIAA1294	FERM domain containing 4A	protein-coding
lmo2_peak_1362	chr5	130171222	130171448	+	153	NA	promoter-TSS (NM_001199059)	promoter-TSS (NM_001199059)	-484	NM_001199059	56715	Mm.288639	NM_019983	ENSMUSG00000025340	Rabgef1	Rab5ef|Rabex5|Rin2	RAB guanine nucleotide exchange factor (GEF) 1	protein-coding
lmo2_peak_473	chr13	89496620	89496919	+	153	NA	Intergenic	Intergenic	-43867	NM_013500	12950	Mm.266790	NM_013500	ENSMUSG00000021613	Hapln1	BB099155|CLP|Crtl1|Crtl1l|LP|LP-1	hyaluronan and proteoglycan link protein 1	protein-coding
lmo2_peak_95	chr1	181842352	181842714	+	153	NA	promoter-TSS (NM_133815)	promoter-TSS (NM_133815)	-132	NM_133815	98386	Mm.4538	NM_133815	ENSMUSG00000004880	Lbr	AI505894|C14SR|ic	lamin B receptor	protein-coding
lmo2_peak_892	chr19	47427966	47428457	+	152	NA	intron (NM_001164717, intron 1 of 13)	intron (NM_001164717, intron 1 of 13)	36200	NM_008018	14218	Mm.127560	NM_008018	ENSMUSG00000053617	Sh3pxd2a	2310014D11Rik|AA589508|AI256723|AI413738|C230050L11|EG329070|Fish|Gm5098|Sh3md1|TSK5|Tks5	SH3 and PX domains 2A	protein-coding
lmo2_peak_132	chr10	38383165	38383473	+	152	NA	Intergenic	RLTR41A2|LTR|ERV1	207545	NR_131035	75877	Mm.402094	NR_131035	ENSMUSG00000111234	4930591E09Rik	-	RIKEN cDNA 4930591E09 gene	ncRNA
lmo2_peak_92	chr1	179854386	179854622	+	152	NA	Intergenic	Intergenic	-50489	NM_026375	226747	Mm.128165	NM_026375	ENSMUSG00000026491	Ahctf1	6230412P20Rik|AV011447|Elys	AT hook containing transcription factor 1	protein-coding
lmo2_peak_547	chr14	63957756	63958094	+	152	NA	Intergenic	Intergenic	14219	NM_011446	20680	Mm.42162	NM_011446	ENSMUSG00000063060	Sox7	-	SRY (sex determining region Y)-box 7	protein-coding
lmo2_peak_1041	chr2	158585162	158585406	+	151	NA	Intergenic	Intergenic	25439	NR_040359	100045469	Mm.143404	NR_040358	ENSMUSG00000086496	Gm14204	-	predicted gene 14204	ncRNA
lmo2_peak_1721	chr8	121652727	121652935	+	146	NA	promoter-TSS (NM_080855)	promoter-TSS (NM_080855)	-898	NM_080855	142682	Mm.103202	NM_080855	ENSMUSG00000061410	Zcchc14	AA792890|BDG29	zinc finger, CCHC domain containing 14	protein-coding
lmo2_peak_1904	chrX	98909050	98909265	+	143	NA	Intergenic	RMER1A|Other|Other	-18132	NM_001313754	94190	Mm.33536	NM_052976	ENSMUSG00000031214	Ophn1	C130037N19Rik|Wtgr	oligophrenin 1	protein-coding
lmo2_peak_84	chr1	170845513	170846243	+	143	NA	intron (NM_001081304, intron 4 of 15)	RMER4B|LTR|ERVK	21893	NM_001081304	226641	Mm.377046	NM_001081304	ENSMUSG00000026663	Atf6	9130025P16Rik|9630036G24|AA789574|Atf6alpha|ESTM49	activating transcription factor 6	protein-coding
lmo2_peak_1216	chr4	115657683	115657903	+	143	NA	Intergenic	RLTR1D2_MM|LTR|ERV1	-10072	NM_007823	13120	Mm.1840	NM_007823	ENSMUSG00000028713	Cyp4b1	CYPIVB1	cytochrome P450, family 4, subfamily b, polypeptide 1	protein-coding
lmo2_peak_376	chr12	84175696	84175876	+	143	NA	intron (NM_001163501, intron 1 of 12)	intron (NM_001163501, intron 1 of 12)	18229	NM_001163502	238317	Mm.31256	NM_001163501	ENSMUSG00000042507	Elmsan1	9430029N19Rik|C130039O16Rik|Gm260	ELM2 and Myb/SANT-like domain containing 1	protein-coding
lmo2_peak_1186	chr4	65238474	65238784	+	143	NA	intron (NM_021362, intron 9 of 21)	intron (NM_021362, intron 9 of 21)	114455	NM_021362	18491	Mm.317854	NM_021362	ENSMUSG00000028370	Pappa	8430414N03Rik|IGFBP-4ase|PAG1|PAPP-A	pregnancy-associated plasma protein A	protein-coding
lmo2_peak_63	chr1	133073356	133073588	+	143	NA	intron (NM_001099276, intron 5 of 32)	intron (NM_001099276, intron 5 of 32)	27460	NM_001099276	240752	Mm.387308	NM_001099276	ENSMUSG00000026447	Pik3c2b	C330011J12Rik|Gm199|PI3K-C2beta|PI3KC2beta	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	protein-coding
lmo2_peak_1480	chr6	136930733	136931023	+	143	NA	intron (NM_007486, intron 3 of 5)	intron (NM_007486, intron 3 of 5)	8649	NM_001301303	11857	Mm.2241	NM_007486	ENSMUSG00000030220	Arhgdib	D4|Gdid4|Ly-GDI	Rho, GDP dissociation inhibitor (GDI) beta	protein-coding
lmo2_peak_1111	chr3	101129181	101129345	+	143	NA	Intergenic	Intergenic	-19097	NM_011197	19221	Mm.24807	NM_011197	ENSMUSG00000027864	Ptgfrn	4833445A08Rik|AU042434|CD9P-1|EWI-F|FPRP|Trim45	prostaglandin F2 receptor negative regulator	protein-coding
lmo2_peak_896	chr19	52428826	52429080	+	143	NA	Intergenic	Intergenic	164656	NM_008386	16333	Mm.46269	NM_008386	ENSMUSG00000035804	Ins1	Ins-1|Ins2-rs1	insulin I	protein-coding
lmo2_peak_1839	chr9	95279713	95279949	+	143	NA	Intergenic	Intergenic	127439	NM_018763	54371	Mm.212446	NM_018763	ENSMUSG00000033350	Chst2	AI428561|AW121776|C130041E03Rik|Chts2|GST-2|GlcNAc6ST|Gn6st	carbohydrate sulfotransferase 2	protein-coding
lmo2_peak_58	chr1	130741378	130741693	+	143	NA	intron (NM_177604, intron 3 of 3)	intron (NM_177604, intron 3 of 3)	9559	NM_177604	212439	Mm.268547	NM_177604	ENSMUSG00000042510	AA986860	E030025M07|Sarg	expressed sequence AA986860	protein-coding
lmo2_peak_1441	chr6	87583374	87583577	+	143	NA	intron (NM_001355655, intron 2 of 2)	MTE2a|LTR|ERVL-MaLR	7268	NM_001355655	58182	Mm.333226	NM_021381	ENSMUSG00000049409	Prokr1	EG-VEGFR1|Gpr73|Pk-r1|Pkr1	prokineticin receptor 1	protein-coding
lmo2_peak_528	chr14	34508272	34508512	+	143	NA	Intergenic	Intergenic	-5846	NM_009758	12166	Mm.237825	NM_009758	ENSMUSG00000021796	Bmpr1a	1110037I22Rik|ALK-3|ALK3|AU045487|BMPR-1A|BMPR-IA|Bmpr|SKR5	bone morphogenetic protein receptor, type 1A	protein-coding
lmo2_peak_874	chr19	37493923	37494414	+	143	NA	Intergenic	Intergenic	28914	NR_131008	78640	Mm.234265	NR_131008	ENSMUSG00000117800	1700122C19Rik	-	RIKEN cDNA 1700122C19 gene	ncRNA
lmo2_peak_974	chr2	77154131	77154380	+	143	NA	intron (NM_001025576, intron 2 of 23)	intron (NM_001025576, intron 2 of 23)	16380	NM_001025576	545428	Mm.26579	NM_001025576	ENSMUSG00000044033	Ccdc141	2610301F02Rik|CAMDI	coiled-coil domain containing 141	protein-coding
lmo2_peak_710	chr16	92822264	92822605	+	143	NA	intron (NM_001111021, intron 2 of 7)	intron (NM_001111021, intron 2 of 7)	3640	NM_001111021	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
lmo2_peak_1516	chr7	79469144	79469484	+	143	NA	Intergenic	Intergenic	-3041	NM_017462	18975	Mm.3616	NM_017462	ENSMUSG00000039176	Polg	AA409516|PolgA	polymerase (DNA directed), gamma	protein-coding
lmo2_peak_605	chr15	62221159	62221437	+	143	NA	intron (NR_132747, intron 2 of 4)	intron (NR_132747, intron 2 of 4)	-1847	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
lmo2_peak_1536	chr7	103877188	103877387	+	143	NA	Intergenic	Intergenic	4954	NM_013618	18367	Mm.445781	NM_013618	ENSMUSG00000058200	Olfr66	5'[b]1|5'beta1|MOR1-3|ORL532	olfactory receptor 66	protein-coding
lmo2_peak_230	chr11	37412885	37413127	+	143	NA	Intergenic	Intergenic	-245983	NR_131154	100039148	Mm.120467	NR_131154	ENSMUSG00000087388	Gm12128	-	predicted gene 12128	ncRNA
lmo2_peak_1288	chr5	24365614	24365835	+	143	NA	intron (NM_008713, intron 1 of 25)	intron (NM_008713, intron 1 of 25)	905	NM_008713	18127	Mm.258415	NM_008713	ENSMUSG00000028978	Nos3	2310065A03Rik|Nos-3|eNOS|ecNOS	nitric oxide synthase 3, endothelial cell	protein-coding
lmo2_peak_497	chr13	103379546	103379841	+	143	NA	Intergenic	Intergenic	-45201	NM_175171	328329	Mm.202606	NM_175171	ENSMUSG00000034751	Mast4	4930420O11Rik|AI642422|mKIAA0303	microtubule associated serine/threonine kinase family member 4	protein-coding
lmo2_peak_732	chr17	5905330	5905701	+	143	NA	intron (NM_025664, intron 7 of 17)	intron (NM_025664, intron 7 of 17)	-35765	NR_151772	20975	Mm.236068	NM_011523	ENSMUSG00000023805	Synj2	AI481647|SJ2|mKIAA0348	synaptojanin 2	protein-coding
lmo2_peak_551	chr14	65102579	65102811	+	143	NA	Intergenic	ID_B1|SINE|B4	-4589	NM_018788	54616	Mm.103748	NM_018788	ENSMUSG00000021978	Extl3	2900009G18Rik|AU040105|Ext1l|mKIAA0519	exostoses (multiple)-like 3	protein-coding
lmo2_peak_862	chr19	24513163	24513461	+	143	NA	intron (NM_008846, intron 1 of 14)	MIRb|SINE|MIR	-35838	NM_026520	68034	Mm.440181	NM_026520	ENSMUSG00000074922	Fam122a	2410124L17Rik|2900009I07Rik|Gm9849	family with sequence similarity 122, member A	protein-coding
lmo2_peak_962	chr2	73823135	73823356	+	142	NA	exon (NM_009715, exon 13 of 14)	exon (NM_009715, exon 13 of 14)	-47899	NM_001166603	108699	Mm.257073	NM_029716	ENSMUSG00000056486	Chn1	0610007I19Rik|0710001E19Rik|1700112L09Rik|2900046J01Rik|AI413815|ARHGAP2	chimerin 1	protein-coding
lmo2_peak_1656	chr8	72761398	72761630	+	141	NA	promoter-TSS (NM_007975)	promoter-TSS (NM_007975)	-145	NM_007975	14065	Mm.12948	NM_007975	ENSMUSG00000050147	F2rl3	PAR4	coagulation factor II (thrombin) receptor-like 3	protein-coding
lmo2_peak_475	chr13	89767616	89767844	+	141	NA	Intergenic	L1_Mus4|LINE|L1	-25218	NM_172955	13003	Mm.158700	NM_019389	ENSMUSG00000021614	Vcan	5430420N07Rik|9430051N09|Cspg2|DPEAAE|NG2|PG-M|PG-M(V0)|PG-M(V1)|hdf	versican	protein-coding
lmo2_peak_336	chr12	12986874	12987132	+	140	NA	Intergenic	Intergenic	-45167	NM_008709	18109	Mm.16469	NM_008709	ENSMUSG00000037169	Mycn	N-myc|Nmyc|Nmyc-1|Nmyc1|bHLHe37|c-nmyc	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	protein-coding
lmo2_peak_1457	chr6	108321678	108322022	+	140	NA	intron (NM_010585, intron 4 of 61)	intron (NM_010585, intron 4 of 61)	108754	NM_010585	16438	Mm.227912	NM_010585	ENSMUSG00000030102	Itpr1	D6Pas2|Gm10429|IP3R 1|IP3R1|InsP3R|Ip3r|Itpr-1|P400|Pcp-1|Pcp1|insP3R1|opt|wblo	inositol 1,4,5-trisphosphate receptor 1	protein-coding
lmo2_peak_1251	chr4	136127691	136127970	+	140	NA	Intergenic	Intergenic	-15992	NM_008321	15903	Mm.110	NM_008321	ENSMUSG00000007872	Id3	Hlh462|Idb3|bHLHb25	inhibitor of DNA binding 3	protein-coding
lmo2_peak_1825	chr9	72780737	72781097	+	140	NA	Intergenic	Intergenic	-26357	NM_175485	235472	Mm.31696	NM_175485	ENSMUSG00000036030	Prtg	A230098A12Rik|Igdcc5	protogenin	protein-coding
lmo2_peak_407	chr13	8760921	8761217	+	140	NA	TTS (NM_001289530)	TTS (NM_001289530)	109975	NM_172445	207615	Mm.284654	NM_172445	ENSMUSG00000021147	Wdr37	-	WD repeat domain 37	protein-coding
lmo2_peak_1161	chr4	31658922	31659103	+	136	NA	Intergenic	ORR1D1|LTR|ERVL-MaLR	-305095	NM_172688	26409	Mm.258589	NM_009316	ENSMUSG00000028284	Map3k7	B430101B05|C87327|Tak1	mitogen-activated protein kinase kinase kinase 7	protein-coding
lmo2_peak_1166	chr4	42155320	42155585	+	136	NA	intron (NM_001199962, intron 3 of 5)	RLTR1D2_MM|LTR|ERV1	-1298	NM_001199963	100039863	Mm.6660	NM_001164046	ENSMUSG00000073877	Gm13306	-	predicted gene 13306	protein-coding
lmo2_peak_1239	chr4	130909572	130909777	+	134	NA	Intergenic	B1F|SINE|Alu	-3642	NM_010686	16792	Mm.271868	NM_010686	ENSMUSG00000028581	Laptm5	E3|Stra13	lysosomal-associated protein transmembrane 5	protein-coding
lmo2_peak_1918	chrX	160905096	160905338	+	130	NA	intron (NM_001001496, intron 1 of 1)	intron (NM_001001496, intron 1 of 1)	1835	NM_001001496	414089	Mm.123113	NM_001001496	ENSMUSG00000055691	Gja6	A530015O12Rik|Cnx33|Cx33|Gja-6	gap junction protein, alpha 6	protein-coding
lmo2_peak_1341	chr5	116029101	116029332	+	130	NA	Intergenic	Intergenic	-4788	NM_031869	19079	Mm.458152	NM_031869	ENSMUSG00000029513	Prkab1	1300015D22Rik|AU021155|E430008F22	protein kinase, AMP-activated, beta 1 non-catalytic subunit	protein-coding
lmo2_peak_146	chr10	69276198	69276436	+	130	NA	intron (NM_001081347, intron 7 of 10)	intron (NM_001081347, intron 7 of 10)	63123	NM_001252637	69288	Mm.26659	NM_001081347	ENSMUSG00000019944	Rhobtb1	1700008H16Rik|3110048G13Rik|AI173445|AI573858|AV350930	Rho-related BTB domain containing 1	protein-coding
lmo2_peak_433	chr13	43530633	43530829	+	130	NA	Intergenic	Intergenic	29460	NM_001081059	76137	Mm.426290	NM_001081059	ENSMUSG00000021371	Mcur1	6230416A05Rik|AU015498|AV136929|AW554392|C88263|Ccdc90a	mitochondrial calcium uniporter regulator 1	protein-coding
lmo2_peak_1469	chr6	125552654	125552993	+	130	NA	promoter-TSS (NM_011708)	promoter-TSS (NM_011708)	-125	NM_011708	22371	Mm.22339	NM_011708	ENSMUSG00000001930	Vwf	6820430P06Rik|AI551257|B130011O06Rik|C630030D09|F8VWF|VWD	Von Willebrand factor	protein-coding
lmo2_peak_444	chr13	48402525	48402771	+	130	NA	Intergenic	Intergenic	110762	NM_001164575	67911	Mm.251375	NM_026450	ENSMUSG00000050954	Zfp169	1700025J14Rik|4930429A13Rik|BE688704	zinc finger protein 169	protein-coding
lmo2_peak_227	chr11	32196100	32196379	+	130	NA	intron (NM_001134458, intron 1 of 8)	intron (NM_001134458, intron 1 of 8)	4040	NM_008374	16199	Mm.384	NM_008374	ENSMUSG00000020279	Il9r	-	interleukin 9 receptor	protein-coding
lmo2_peak_955	chr2	65296622	65296856	+	130	NA	Intergenic	RLTR18B|LTR|ERVK	-57948	NM_177025	319876	Mm.34159	NM_027225	ENSMUSG00000034903	Cobll1	1810047P18Rik|Coblr1|D430044D16Rik	Cobl-like 1	protein-coding
lmo2_peak_1131	chr3	127459952	127460186	+	130	NA	intron (NM_001327938, intron 1 of 47)	intron (NM_001327938, intron 1 of 47)	39046	NM_001327938	109676	Mm.220242	NM_178655	ENSMUSG00000032826	Ank2	100043364|AI835472|AW491075|Ank-2|Gm4392	ankyrin 2, brain	protein-coding
lmo2_peak_1010	chr2	117120944	117121271	+	130	NA	promoter-TSS (NM_033524)	promoter-TSS (NM_033524)	36	NM_001277256	114715	Mm.245890	NM_033524	ENSMUSG00000027351	Spred1	5730461F13Rik|AL024345|AW047647	sprouty protein with EVH-1 domain 1, related sequence	protein-coding
lmo2_peak_720	chr16	95439863	95440227	+	130	NA	intron (NM_001302179, intron 2 of 9)	intron (NM_001302179, intron 2 of 9)	19303	NM_001302154	13876	Mm.164531	NM_133659	ENSMUSG00000040732	Erg	D030036I24Rik	ETS transcription factor	protein-coding
lmo2_peak_938	chr2	33886377	33886602	+	130	NA	intron (NM_175184, intron 1 of 9)	intron (NM_175184, intron 1 of 9)	1457	NM_175184	72543	Mm.254914	NM_175184	ENSMUSG00000038740	Mvb12b	2610200O14Rik|2610528K11Rik|AI414895|Fam125b	multivesicular body subunit 12B	protein-coding
lmo2_peak_1791	chr9	58326751	58326992	+	130	NA	Intergenic	Intergenic	-13659	NM_010729	16949	Mm.250492	NM_010729	ENSMUSG00000032334	Loxl1	Loxl	lysyl oxidase-like 1	protein-coding
lmo2_peak_85	chr1	172364898	172365186	+	130	NA	intron (NM_001039484, intron 1 of 1)	intron (NM_001039484, intron 1 of 1)	-11489	NM_026234	67556	Mm.26612	NM_026234	ENSMUSG00000050229	Pigm	4933437L05Rik|AI644422|AV302080|C920011G20Rik	phosphatidylinositol glycan anchor biosynthesis, class M	protein-coding
lmo2_peak_77	chr1	161894540	161894860	+	130	NA	Intergenic	Intergenic	-18018	NM_172645	226551	Mm.170002	NM_172645	ENSMUSG00000040297	Suco	4732491B11|AI848100|AU016931|Opt	SUN domain containing ossification factor	protein-coding
lmo2_peak_1031	chr2	146099150	146099439	+	130	NA	intron (NM_001369121, intron 19 of 26)	intron (NM_001369121, intron 19 of 26)	-122703	NM_016889	53626	Mm.379070	NM_016889	ENSMUSG00000068154	Insm1	IA-1	insulinoma-associated 1	protein-coding
lmo2_peak_637	chr15	93751046	93751282	+	130	NA	Intergenic	Intergenic	-155262	NM_001033217	106042	Mm.150314	NM_001033217	ENSMUSG00000036158	Prickle1	1110058P22Rik|AW215793|Prickle|b2b019Clo|mpk1	prickle planar cell polarity protein 1	protein-coding
lmo2_peak_740	chr17	12724039	12724321	+	130	NA	intron (NM_010515, intron 10 of 47)	intron (NM_010515, intron 10 of 47)	-17131	NR_027772	104103	Mm.26553	NR_002853	ENSMUSG00000078247	Airn	2810051F02Rik|2810434M15Rik|AI256653|AI597500|AW049873|Air|B930018I07Rik|D17Ertd663e|IGF2RAS	antisense Igf2r RNA	ncRNA
